    User: glassfish
    Date: Wed 19-Feb-2014 (050) 18:49:03
  Status: request completed successfully


GROUP 1    Satellite   Resolution   Factor
            isee3         720         1

           Start Time           Stop Time 
           2014  50  0.00000    2014 223  0.00000


 Coord/            Min/Max          Range Filter              Filter
Component   Output Markers      Minimum         Maximum      Mins/Maxes
GSE X        YES      -           -               -               -   
GSE Y        YES      -           -               -               -   
GSE Z        YES      -           -               -               -   
GSE Lat      YES      -           -               -               -   
GSE Lon      YES      -           -               -               -   


Addtnl             Min/Max          Range Filter              Filter
Options     Output Markers      Minimum         Maximum      Mins/Maxes
dEarth       YES      -           -               -               -   

Output - File: 
         lines per page: 0
 
Formats and units:
    Day/Time format: YY/MM/DD HH:MM
    Degrees/Hemisphere format: Decimal degrees with 1 place(s).
        Longitude 0 to 360, latitude -90 to 90.
    Distance format: Kilometers with 3 place(s).

isee3
      Time                         GSE (km)                        GSE         Radius    
yy/mm/dd hh:mm        X               Y               Z         Lat   Long      (km)     
14/02/20 07:48    12901177.000    43116316.000      103908.258   0.1  73.3   45005200.000
14/02/20 08:00    12901517.000    43114608.000      103923.836   0.1  73.3   45003660.000
14/02/20 08:12    12901781.000    43112924.000      103939.406   0.1  73.3   45002116.000
14/02/20 08:24    12905065.000    43110328.000      103954.977   0.1  73.3   45000580.000
14/02/20 08:36    12905410.000    43108616.000      103971.328   0.1  73.3   44999036.000
14/02/20 08:48    12905691.000    43106924.000      103986.898   0.1  73.3   44997500.000
14/02/20 09:00    12906013.000    43105216.000      104001.695   0.1  73.3   44995952.000
14/02/20 09:12    12906316.000    43103512.000      104018.039   0.1  73.3   44994408.000
14/02/20 09:24    12906621.000    43101812.000      104033.617   0.1  73.3   44992868.000
14/02/20 09:36    12906920.000    43100116.000      104049.188   0.1  73.3   44991324.000
14/02/20 09:48    12910207.000    43097516.000      104064.758   0.1  73.3   44989776.000
14/02/20 10:00    12910506.000    43095816.000      104081.883   0.1  73.3   44988236.000
14/02/20 10:12    12910810.000    43094112.000      104096.680   0.1  73.3   44986692.000
14/02/20 10:24    12911110.000    43092408.000      104113.031   0.1  73.3   44985148.000
14/02/20 10:36    12911416.000    43090704.000      104128.602   0.1  73.3   44983604.000
14/02/20 10:48    12911762.000    43088988.000      104144.172   0.1  73.3   44982056.000
14/02/20 11:00    12912020.000    43087300.000      104158.188   0.1  73.3   44980512.000
14/02/20 11:12    12912323.000    43085600.000      104175.312   0.1  73.3   44978964.000
14/02/20 11:24    12915610.000    43082996.000      104190.891   0.1  73.3   44977420.000
14/02/20 11:36    12915909.000    43081292.000      104207.234   0.1  73.3   44975872.000
14/02/20 11:48    12916211.000    43079592.000      104222.031   0.1  73.3   44974328.000
14/02/20 12:00    12916554.000    43077868.000      104238.383   0.1  73.3   44972780.000
14/02/20 12:12    12916818.000    43076176.000      104254.734   0.1  73.3   44971232.000
14/02/20 12:24    12917118.000    43074468.000      104269.523   0.1  73.3   44969684.000
14/02/20 12:36    12917460.000    43072744.000      104285.875   0.1  73.3   44968132.000
14/02/20 12:48    12920702.000    43070156.000      104303.000   0.1  73.3   44966588.000
14/02/20 13:00    12921024.000    43068444.000      104317.797   0.1  73.3   44965036.000
14/02/20 13:12    12921307.000    43066744.000      104331.812   0.1  73.3   44963488.000
14/02/20 13:24    12921611.000    43065036.000      104348.164   0.1  73.3   44961940.000
14/02/20 13:36    12921954.000    43063320.000      104363.734   0.1  73.3   44960392.000
14/02/20 13:48    12922256.000    43061604.000      104378.523   0.1  73.3   44958840.000
14/02/20 14:00    12922560.000    43059900.000      104394.875   0.1  73.3   44957292.000
14/02/20 14:12    12922844.000    43058192.000      104411.227   0.1  73.3   44955740.000
14/02/20 14:24    12926101.000    43055596.000      104426.797   0.1  73.3   44954192.000
14/02/20 14:36    12926408.000    43053880.000      104443.148   0.1  73.3   44952640.000
14/02/20 14:48    12926707.000    43052168.000      104457.945   0.1  73.3   44951088.000
14/02/20 15:00    12927011.000    43050464.000      104474.289   0.1  73.3   44949536.000
14/02/20 15:12    12927314.000    43048752.000      104489.867   0.1  73.3   44947988.000
14/02/20 15:24    12927613.000    43047040.000      104504.656   0.1  73.3   44946432.000
14/02/20 15:36    12927940.000    43045328.000      104521.008   0.1  73.3   44944880.000
14/02/20 15:48    12931199.000    43042724.000      104537.359   0.1  73.3   44943328.000
14/02/20 16:00    12931502.000    43041012.000      104552.930   0.1  73.3   44941776.000
14/02/20 16:12    12931802.000    43039296.000      104566.945   0.1  73.3   44940224.000
14/02/20 16:24    12932085.000    43037592.000      104584.070   0.1  73.3   44938668.000
14/02/20 16:36    12932408.000    43035872.000      104599.641   0.1  73.3   44937116.000
14/02/20 16:48    12932712.000    43034160.000      104614.438   0.1  73.3   44935564.000
14/02/20 17:00    12933017.000    43032444.000      104630.008   0.1  73.3   44934008.000
14/02/20 17:12    12933319.000    43030728.000      104646.359   0.1  73.3   44932452.000
14/02/20 17:24    12936558.000    43028132.000      104661.148   0.1  73.3   44930900.000
14/02/20 17:36    12936898.000    43026404.000      104677.500   0.1  73.3   44929340.000
14/02/20 17:48    12937161.000    43024700.000      104693.070   0.1  73.3   44927784.000
14/02/20 18:00    12937465.000    43022984.000      104708.648   0.1  73.3   44926232.000
14/02/20 18:12    12937785.000    43021260.000      104723.438   0.1  73.3   44924676.000
14/02/20 18:24    12938108.000    43019540.000      104739.008   0.1  73.3   44923120.000
14/02/20 18:36    12938376.000    43017836.000      104755.359   0.1  73.3   44921560.000
14/02/20 18:48    12941656.000    43015220.000      104771.711   0.1  73.3   44920004.000
14/02/20 19:00    12941930.000    43013512.000      104786.508   0.1  73.3   44918448.000
14/02/20 19:12    12942219.000    43011800.000      104802.078   0.1  73.3   44916888.000
14/02/20 19:24    12942555.000    43010068.000      104818.430   0.1  73.3   44915328.000
14/02/20 19:36    12942862.000    43008352.000      104833.219   0.1  73.3   44913772.000
14/02/20 19:48    12943142.000    43006640.000      104849.570   0.1  73.3   44912212.000
14/02/20 20:00    12943467.000    43004916.000      104865.141   0.1  73.2   44910656.000
14/02/20 20:12    12943748.000    43003200.000      104880.711   0.1  73.2   44909096.000
