Date, Time (UTC), Azimuth (°), Elevation (°), Distance (km)
14/02/20,16:24,77.0428185834,10.5014139674,44937505.9945
14/02/20,16:36,78.5865278402,12.9493185601,44935681.6958
14/02/20,16:48,80.1230496363,15.4105339102,44933870.6781
14/02/20,17:00,81.6578859809,17.8832619006,44932049.8696
14/02/20,17:12,83.1968039696,20.365719987,44930234.2401
14/02/20,17:24,84.7479519311,22.8593890504,44928422.2611
14/02/20,17:36,86.3139245934,25.356079141,44926611.0517
14/02/20,17:48,87.9039107309,27.8571992062,44924807.9321
14/02/20,18:00,89.5258506439,30.360890064,44923011.9317
14/02/20,18:12,91.1886128904,32.8651652726,44921219.0163
14/02/20,18:24,92.9022633014,35.3679217687,44919427.0161
14/02/20,18:36,94.6783104168,37.8668040315,44917654.8738
14/02/20,18:48,96.5325537308,40.3624450856,44915878.9812
14/02/20,19:00,98.4758224637,42.8454144817,44914112.5502
14/02/20,19:12,100.528961653,45.3155262696,44912355.0618
14/02/20,19:24,102.714012132,47.7687044987,44910612.9827
14/02/20,19:36,105.057550363,50.20010987,44908878.8893
14/02/20,19:48,107.591792527,52.603814968,44907152.259
14/02/20,20:00,110.35611465,54.972528631,44905434.8736
14/02/20,20:12,113.398765843,57.2970944443,44903731.2134
14/02/20,20:24,116.783570743,59.5687918622,44902044.7526
14/02/20,20:36,120.574264648,61.7669056619,44900361.176
14/02/20,20:48,124.862292886,63.8751943785,44898695.4957
14/02/20,21:00,129.750196924,65.8688392306,44897039.6994
14/02/20,21:12,135.352156096,67.7158611775,44895397.8524
14/02/20,21:24,141.782521953,69.3757558296,44893769.9133
14/02/20,21:36,149.1307396,70.7989733726,44892154.8393
14/02/20,21:48,157.430029953,71.9299575454,44890551.021
14/02/20,22:00,166.558766589,72.7075241056,44888967.6165
14/02/20,22:12,176.265523638,73.0843564628,44887392.1413
14/02/20,22:24,186.146266478,73.0335586298,44885826.741
14/02/20,22:36,195.748766758,72.5589063936,44884281.6066
14/02/20,22:48,204.696717935,71.693583654,44882747.4586
14/02/20,23:00,212.767794626,70.4899253839,44881227.1966
14/02/20,23:12,219.895335873,69.0066210139,44879721.9145
14/02/20,23:24,226.129416714,67.2967776756,44878228.7995
14/02/20,23:36,231.552529235,65.4123400496,44876743.581
14/02/20,23:48,236.289224838,63.3896241957,44875280.6242
14/02/21,00:00,240.451606658,61.2587950594,44873822.9826
14/02/21,00:12,244.138736543,59.043218361,44872382.6714
14/02/21,00:24,247.43430306,56.7609543765,44870952.1884
14/02/21,00:36,250.407401133,54.4260171077,44869532.2698
14/02/21,00:48,253.117786185,52.0462995265,44868126.8254
14/02/21,01:00,255.604579214,49.6365672368,44866727.0802
14/02/21,01:12,257.908922888,47.2007460111,44865343.6406
14/02/21,01:24,260.061584781,44.7444837778,44863965.926
14/02/21,01:36,262.087991901,42.2724147125,44862596.65
14/02/21,01:48,264.009268691,39.7884451469,44861236.7984
14/02/21,02:00,265.843164039,37.2958898496,44859887.4749
14/02/21,02:12,267.604718138,34.7976304544,44858542.1077
14/02/21,02:24,269.308953587,32.2929788064,44857208.5734
14/02/21,02:36,270.962662378,29.7906598336,44855877.1234
14/02/21,02:48,272.577820871,27.2895376496,44854549.7615
14/02/21,03:00,274.163064304,24.791566496,44853232.8854
14/02/21,03:12,275.726145114,22.2985974818,44851919.2215
14/02/21,03:24,277.274088941,19.8124354063,44850611.99
14/02/21,03:36,278.813394792,17.3348169222,44849296.3345
14/02/21,03:48,280.352039919,14.8643697936,44847990.1464
14/02/21,04:00,281.89181475,12.4091939447,44846682.1533
14/02/21,04:12,283.440135924,9.96794231979,44845379.752
14/02/21,04:24,285.002279116,7.54251554674,44844075.8879
14/02/21,04:36,286.583423682,5.1348972673,44842768.2669
14/02/21,04:48,288.188692018,2.74718337794,44841461.1049
14/02/21,05:00,289.823201296,0.381595074831,44840154.2696
14/02/21,05:12,291.492111393,-1.95947542764,44838838.3625
14/02/21,05:24,293.202868185,-4.27642037119,44837525.3544
14/02/21,05:36,294.95646014,-6.56055451816,44836206.1322
14/02/21,05:48,296.760485907,-8.81183287975,44834880.4928
14/02/21,06:00,298.620582747,-11.0270367965,44833547.2736
14/02/21,06:12,300.542476445,-13.2026033601,44832208.2692
14/02/21,06:24,302.53208463,-15.3347127145,44830865.8129
14/02/21,06:36,304.595385645,-17.4191427494,44829512.9676
14/02/21,06:48,306.741286436,-19.4539251081,44828153.7845
14/02/21,07:00,308.970405944,-21.4288866434,44826781.0817
14/02/21,07:12,311.291452746,-23.3412862377,44825402.9716
14/02/21,07:24,313.710219471,-25.1852837089,44824012.8076
14/02/21,07:36,316.232205148,-26.9546468249,44822617.4865
14/02/21,07:48,318.862363053,-28.6426930023,44821204.2185
14/02/21,08:00,321.604774623,-30.2422825629,44819785.5818
14/02/21,08:12,324.462560261,-31.745951318,44818349.6743
14/02/21,08:24,327.441238549,-33.1476046318,44816902.2628
14/02/21,08:36,330.53314737,-34.4356393005,44815443.3289
14/02/21,08:48,333.739953582,-35.6038434166,44813970.2729
14/02/21,09:00,337.057116383,-36.6442020786,44812486.6433
